,AGCODE,WEIGHT,PRICE,YEAR
0,총계,"11,740,564","6,912,296",2014년01월
1,1농산물-계,"11,700,907","6,743,633",2014년01월
2,111곡류-계,"3,768,247","3,208,857",2014년01월
3,11101쌀-계,"3,768,247","3,208,857",2014년01월
4,112서류-계,"14,400","40,360",2014년01월
5,11201감자-계,"14,400","40,360",2014년01월
6,11202고구마-계,0,0,2014년01월
7,116과실류-계,0,0,2014년01월
8,11601사과-계,0,0,2014년01월
9,121채소류-계,"7,918,260","3,494,416",2014년01월
10,12113시금치-계,0,0,2014년01월
11,12121무-계,"1,920,952","472,688",2014년01월
12,12123당근-계,"4,338,008","2,331,745",2014년01월
13,12132오이-계,"1,659,300","689,983",2014년01월
14,12161고추-계,0,0,2014년01월
15,2축산물-계,"39,657","168,663",2014년01월
16,222가금육류-계,0,0,2014년01월
17,22201닭고기-계,0,0,2014년01월
18,242난류-계,"39,657","168,663",2014년01월
19,24201조란-계,"39,657","168,663",2014년01월
20,총계,"30,903,005","27,561,641",2015년01월
21,1농산물-계,"30,839,371","27,286,013",2015년01월
22,111곡류-계,"24,468,028","24,813,711",2015년01월
23,11101쌀-계,"24,468,028","24,813,711",2015년01월
24,112서류-계,0,6,2015년01월
25,11201감자-계,0,6,2015년01월
26,11202고구마-계,0,0,2015년01월
27,116과실류-계,0,0,2015년01월
28,11601사과-계,0,0,2015년01월
29,121채소류-계,"6,371,343","2,472,296",2015년01월
30,12113시금치-계,4,43,2015년01월
31,12121무-계,"497,200","111,767",2015년01월
32,12123당근-계,"4,587,939","1,915,826",2015년01월
33,12132오이-계,"1,286,200","444,660",2015년01월
34,12161고추-계,0,0,2015년01월
35,2축산물-계,"63,634","275,628",2015년01월
36,222가금육류-계,0,0,2015년01월
37,22201닭고기-계,0,0,2015년01월
38,242난류-계,"63,634","275,628",2015년01월
39,24201조란-계,"63,634","275,628",2015년01월
0,총계,"18,561,210","11,009,372",2014년02월
1,1농산물-계,"18,473,474","10,622,140",2014년02월
2,111곡류-계,"4,340,659","3,800,505",2014년02월
3,11101쌀-계,"4,340,659","3,800,505",2014년02월
4,112서류-계,"30,460","85,508",2014년02월
5,11201감자-계,"30,460","85,508",2014년02월
6,11202고구마-계,0,0,2014년02월
7,116과실류-계,0,0,2014년02월
8,11601사과-계,0,0,2014년02월
9,121채소류-계,"14,102,355","6,736,127",2014년02월
10,12113시금치-계,0,0,2014년02월
11,12121무-계,"2,598,092","666,786",2014년02월
12,12123당근-계,"8,539,363","4,816,222",2014년02월
13,12132오이-계,"2,964,900","1,253,119",2014년02월
14,12161고추-계,0,0,2014년02월
15,2축산물-계,"87,736","387,232",2014년02월
16,242난류-계,"87,736","387,232",2014년02월
17,24201조란-계,"87,736","387,232",2014년02월
18,총계,"43,711,079","34,656,422",2015년02월
19,1농산물-계,"43,643,398","34,289,503",2015년02월
20,111곡류-계,"29,133,074","28,262,145",2015년02월
21,11101쌀-계,"29,133,074","28,262,145",2015년02월
22,112서류-계,"17,000","45,357",2015년02월
23,11201감자-계,"17,000","45,357",2015년02월
24,11202고구마-계,0,0,2015년02월
25,116과실류-계,0,0,2015년02월
26,11601사과-계,0,0,2015년02월
27,121채소류-계,"14,493,324","5,982,001",2015년02월
28,12113시금치-계,4,43,2015년02월
29,12121무-계,"866,464","198,442",2015년02월
30,12123당근-계,"10,890,656","4,837,832",2015년02월
31,12132오이-계,"2,736,200","945,684",2015년02월
32,12161고추-계,0,0,2015년02월
33,2축산물-계,"67,681","366,919",2015년02월
34,242난류-계,"67,681","366,919",2015년02월
35,24201조란-계,"67,681","366,919",2015년02월
0,총계,"28,217,419","16,037,916",2014년03월
1,1농산물-계,"28,124,930","15,542,308",2014년03월
2,111곡류-계,"4,377,416","3,861,747",2014년03월
3,11101쌀-계,"4,377,416","3,861,747",2014년03월
4,112서류-계,"46,519","130,625",2014년03월
5,11201감자-계,"46,519","130,625",2014년03월
6,11202고구마-계,0,0,2014년03월
7,116과실류-계,0,0,2014년03월
8,11601사과-계,0,0,2014년03월
9,121채소류-계,"23,700,995","11,549,936",2014년03월
10,12113시금치-계,0,0,2014년03월
11,12121무-계,"3,405,482","895,968",2014년03월
12,12123당근-계,"15,557,873","8,644,577",2014년03월
13,12132오이-계,"4,737,640","2,009,391",2014년03월
14,12161고추-계,0,0,2014년03월
15,2축산물-계,"92,489","495,608",2014년03월
16,242난류-계,"92,489","495,608",2014년03월
17,24201조란-계,"92,489","495,608",2014년03월
18,총계,"67,823,281","53,399,480",2015년03월
19,1농산물-계,"67,704,984","52,769,327",2015년03월
20,111곡류-계,"42,191,677","41,960,038",2015년03월
21,11101쌀-계,"42,191,677","41,960,038",2015년03월
