시도별,품목,년도,가중치
서울특별시,무,2013,0.000537393
부산광역시,무,2013,0.003813691
대구광역시,무,2013,0.003965519
인천광역시,무,2013,0.010681929
광주광역시,무,2013,0.015298712
대전광역시,무,2013,0.002149571
울산광역시,무,2013,0.006209983
경기도,무,2013,0.129426748
강원도,무,2013,0.108287635
충청북도,무,2013,0.047065816
충청남도,무,2013,0.124182674
전라북도,무,2013,0.254882982
전라남도,무,2013,0.140992678
경상북도,무,2013,0.073611819
경상남도,무,2013,0.037079101
제주도,무,2013,0.041815748
서울특별시,무,2014,0.000536635
부산광역시,무,2014,0.000697009
대구광역시,무,2014,0.004534415
인천광역시,무,2014,0.00759848
광주광역시,무,2014,0.007812825
대전광역시,무,2014,0.00132
울산광역시,무,2014,0.003933784
경기도,무,2014,0.116974949
강원도,무,2014,0.089495516
충청북도,무,2014,0.027573498
충청남도,무,2014,0.10366084
전라북도,무,2014,0.137769571
전라남도,무,2014,0.084210121
경상북도,무,2014,0.053392908
경상남도,무,2014,0.018073664
제주도,무,2014,0.342415013
서울특별시,무,2015,0.000302563
부산광역시,무,2015,0.002894358
대구광역시,무,2015,0.001459986
인천광역시,무,2015,0.00852459
광주광역시,무,2015,0.013244731
대전광역시,무,2015,0.002911167
울산광역시,무,2015,0.00579512
경기도,무,2015,0.1235137
강원도,무,2015,0.083204797
충청북도,무,2015,0.025216777
충청남도,무,2015,0.132910759
전라북도,무,2015,0.115579028
전라남도,무,2015,0.096295846
경상북도,무,2015,0.053700913
경상남도,무,2015,0.02793424
제주도,무,2015,0.306512226
서울특별시,무,2016,0.000154126
부산광역시,무,2016,0.001534339
대구광역시,무,2016,0.002946169
인천광역시,무,2016,0.007400989
광주광역시,무,2016,0.012252979
대전광역시,무,2016,0.001193485
울산광역시,무,2016,0.001879146
경기도,무,2016,0.097362873
강원도,무,2016,0.121726562
충청북도,무,2016,0.035445907
충청남도,무,2016,0.113019457
전라북도,무,2016,0.124975053
전라남도,무,2016,0.111275665
경상북도,무,2016,0.063833655
경상남도,무,2016,0.023921072
제주도,무,2016,0.278076039
서울특별시,당근,2013,0
부산광역시,당근,2013,0.036503759
대구광역시,당근,2013,0
인천광역시,당근,2013,0
광주광역시,당근,2013,0
대전광역시,당근,2013,0
울산광역시,당근,2013,0
경기도,당근,2013,0.002982456
강원도,당근,2013,0.038120301
충청북도,당근,2013,0.01197995
충청남도,당근,2013,0.011729323
전라북도,당근,2013,0.010426065
전라남도,당근,2013,0.01216792
경상북도,당근,2013,0.089185464
경상남도,당근,2013,0.181478697
제주도,당근,2013,0.605426065
서울특별시,당근,2014,0
부산광역시,당근,2014,0.022336646
대구광역시,당근,2014,0
인천광역시,당근,2014,0.00086418
광주광역시,당근,2014,0
대전광역시,당근,2014,0
울산광역시,당근,2014,0
경기도,당근,2014,0.01004609
강원도,당근,2014,0.030270296
충청북도,당근,2014,0.012794661
충청남도,당근,2014,0.014739066
전라북도,당근,2014,0.002184454
전라남도,당근,2014,0.019516059
경상북도,당근,2014,0.107050266
경상남도,당근,2014,0.090222766
제주도,당근,2014,0.689975515
서울특별시,당근,2015,0
부산광역시,당근,2015,0.018103783
대구광역시,당근,2015,0
