AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
감자	"14,400"	"40,360"	2014년01월				감자		감자
고구마	0	0	2014년01월				고구마		고구마
사과	0	0	2014년01월				사과		사과
시금치	0	0	2014년01월				시금치		시금치
무	"1,920,952"	"472,688"	2014년01월				무		무
당근	"4,338,008"	"2,331,745"	2014년01월				당근		당근
오이	"1,659,300"	"689,983"	2014년01월				오이		오이
풋고추	0	0	2014년01월				풋고추		풋고추
감자	0	6	2015년01월				배추		배추
고구마	0	0	2015년01월				양배추		양배추
사과	0	0	2015년01월				수박		수박
시금치	4	43	2015년01월				양파		양파
무	"497,200"	"111,767"	2015년01월				상추		상추
당근	"4,587,939"	"1,915,826"	2015년01월				딸기		딸기
오이	"1,286,200"	"444,660"	2015년01월						호박
풋고추	0	0	2015년01월						마늘
감자	"30,460"	"85,508"	2014년02월						
고구마	0	0	2014년02월						
사과	0	0	2014년02월						
시금치	0	0	2014년02월						
무	"2,598,092"	"666,786"	2014년02월						
당근	"8,539,363"	"4,816,222"	2014년02월						
오이	"2,964,900"	"1,253,119"	2014년02월						
풋고추	0	0	2014년02월						
감자	"17,000"	"45,357"	2015년02월						
고구마	0	0	2015년02월						
사과	0	0	2015년02월						
시금치	4	43	2015년02월						
무	"866,464"	"198,442"	2015년02월						
당근	"10,890,656"	"4,837,832"	2015년02월						
오이	"2,736,200"	"945,684"	2015년02월						
풋고추	0	0	2015년02월						
감자	"46,519"	"130,625"	2014년03월						
고구마	0	0	2014년03월						
사과	0	0	2014년03월						
시금치	0	0	2014년03월						
무	"3,405,482"	"895,968"	2014년03월						
당근	"15,557,873"	"8,644,577"	2014년03월						
오이	"4,737,640"	"2,009,391"	2014년03월						
풋고추	0	0	2014년03월						
감자	"32,982"	"89,698"	2015년03월						
고구마	0	0	2015년03월						
사과	0	0	2015년03월						
시금치	4	43	2015년03월						
무	"1,405,568"	"305,761"	2015년03월						
당근	"20,561,052"	"9,173,212"	2015년03월						
오이	"3,513,701"	"1,240,575"	2015년03월						
풋고추	0	0	2015년03월						
감자	"78,519"	"219,364"	2014년04월						
고구마	0	0	2014년04월						
사과	0	0	2014년04월						
시금치	0	0	2014년04월						
