관측분야 : 지상
조회기간 : 임의기간(일별): 2014-01-01 ~ 2017-08-21
관측지점 : 광주(156), 대구(143), 서울(108), 인천(112)
출력기후요소 : 평균기온,평균이슬점온도,평균 지면온도,일강수량,최심적설,최심신적설,평균풍속,평균현지기압,평균습도,평균전운량,일사량,일조시간,최다풍향

지점번호,지점,일자,평균기온 (℃),평균지면온도 (℃),평균이슬점온도 (℃),일강수량 (mm),최심적설 (cm),최심신적설 (cm),평균풍속 (m/s),최다풍향 (deg),평균현지기압 (hPa),평균습도 (%),평균전운량 (1/10),일사합 (MJ/m²),일조합 (hr),
원시자료
108,서울,2014-01-01,4.0,0.8,-5.5,0.0,,,3.7,270.0,1003.6,51,2.1,6.17,6.4,
108,서울,2014-01-02,1.5,0.0,-12.9,,,,2.0,290.0,1010.4,35,0.3,9.18,9.0,
108,서울,2014-01-03,2.3,0.1,-6.2,,,,2.5,50.0,1006.9,54,4.6,4.69,2.7,
108,서울,2014-01-04,-0.1,-0.2,-10.3,,,,2.4,270.0,1008.8,47,0.9,8.14,8.7,
108,서울,2014-01-05,-0.8,-0.7,-10.7,,,,1.9,270.0,1013.1,48,2.1,7.08,8.0,
108,서울,2014-01-06,0.8,-0.5,-8.6,,,,1.6,50.0,1017.3,50,3.1,7.90,8.1,
108,서울,2014-01-07,3.0,0.5,-4.9,0.0,,,1.7,20.0,1014.6,56,8.5,3.36,0.0,
108,서울,2014-01-08,0.5,1.3,-7.8,0.0,,,3.3,290.0,1010.9,57,7.4,5.59,3.5,
108,서울,2014-01-09,-7.8,-4.0,-24.3,,,,3.6,290.0,1017.9,26,0.0,10.06,9.3,
108,서울,2014-01-10,-4.7,-3.1,-14.2,0.0,,,2.0,270.0,1020.6,49,3.1,6.91,4.4,
108,서울,2014-01-11,-1.7,-2.1,-14.7,,,,1.9,290.0,1020.4,44,4.5,7.57,6.4,
108,서울,2014-01-12,-2.4,-2.0,-13.8,0.0,,,3.4,320.0,1017.6,44,2.5,7.08,6.4,
108,서울,2014-01-13,-6.2,-5.0,-23.1,,,,2.9,290.0,1021.8,26,0.0,10.16,9.3,
108,서울,2014-01-14,-4.3,-4.2,-18.4,,,,2.2,270.0,1022.2,34,0.0,9.24,9.1,
108,서울,2014-01-15,-2.9,-3.6,-14.3,,,,1.7,270.0,1021.7,42,0.9,9.09,9.0,
108,서울,2014-01-16,0.1,-0.9,-6.9,,,,1.9,50.0,1018.1,60,6.8,4.14,1.1,
108,서울,2014-01-17,-0.1,-1.4,-8.7,,,,1.6,270.0,1015.9,56,1.8,6.69,6.2,
108,서울,2014-01-18,-2.2,-2.0,-13.7,,,,3.1,290.0,1016.9,42,0.4,9.57,8.4,
108,서울,2014-01-19,-2.6,-2.7,-13.4,0.0,,,1.9,20.0,1017.7,45,4.9,8.33,6.2,
108,서울,2014-01-20,-1.5,-0.2,-3.9,5.3,5.3,5.3,3.2,70.0,1008.6,83,9.6,2.55,0.0,
108,서울,2014-01-21,-5.5,-0.5,-11.4,0.7,6.1,0.8,2.4,290.0,1014.5,63,5.3,5.38,3.1,
108,서울,2014-01-22,-3.9,-1.5,-10.8,,4.5,,1.6,290.0,1018.0,60,1.0,9.60,9.0,
108,서울,2014-01-23,-0.8,-1.3,-6.6,,3.8,,2.1,50.0,1015.7,66,3.4,7.56,5.8,
108,서울,2014-01-24,3.0,0.2,-3.0,,2.5,,2.6,50.0,1010.3,64,8.5,3.09,0.0,
108,서울,2014-01-25,4.2,1.6,-0.1,3.0,,,2.4,290.0,1006.2,74,7.0,1.43,0.0,
108,서울,2014-01-26,-2.1,0.0,-13.4,,,,2.7,290.0,1016.9,42,0.0,11.50,9.5,
108,서울,2014-01-27,0.2,-0.4,-10.5,,,,2.6,50.0,1013.4,48,1.6,9.88,8.7,
108,서울,2014-01-28,1.5,1.2,-8.6,0.5,,,2.9,290.0,1013.8,53,3.6,10.74,8.1,
108,서울,2014-01-29,2.2,0.0,-11.0,,,,2.2,50.0,1011.1,40,4.3,10.45,7.9,
108,서울,2014-01-30,4.0,1.9,-2.8,3.5,,,3.0,270.0,1005.4,66,5.8,1.93,0.9,
108,서울,2014-01-31,1.3,0.4,-16.5,,,,2.2,70.0,1013.0,26,1.0,10.25,9.2,
108,서울,2014-02-01,4.9,1.3,-3.1,11.0,,,3.4,70.0,1005.0,64,9.6,0.49,0.0,
108,서울,2014-02-02,4.9,3.8,3.6,0.5,,,2.0,270.0,1000.0,92,8.9,1.84,0.0,
108,서울,2014-02-03,-3.5,-0.1,-16.3,,,,4.3,320.0,1007.0,39,2.6,8.03,4.6,
108,서울,2014-02-04,-7.4,-3.0,-23.8,,,,3.4,290.0,1014.6,26,0.1,12.80,9.7,
108,서울,2014-02-05,-4.8,-2.0,-21.1,,,,2.0,270.0,1018.1,28,4.5,10.96,7.2,
108,서울,2014-02-06,-1.3,-0.4,-17.0,,,,1.7,20.0,1015.5,30,5.0,9.68,6.7,
108,서울,2014-02-07,2.4,0.6,-8.0,0.0,,,4.8,70.0,1010.0,47,8.4,9.00,5.2,
108,서울,2014-02-08,0.2,0.8,-3.0,4.3,5.8,5.8,4.3,70.0,1006.8,79,9.8,4.73,0.9,
108,서울,2014-02-09,-1.6,0.1,-5.2,0.2,5.8,0.2,2.7,290.0,1010.8,77,8.0,4.89,1.6,
108,서울,2014-02-10,-0.1,0.2,-8.4,0.2,4.0,0.5,2.5,70.0,1015.1,55,4.5,10.12,6.0,
108,서울,2014-02-11,0.2,0.9,-11.6,,,,3.2,70.0,1015.9,42,0.8,13.48,9.7,
108,서울,2014-02-12,1.2,0.6,-8.3,0.0,,,2.5,70.0,1017.8,49,4.4,8.68,5.1,
108,서울,2014-02-13,1.9,1.6,-9.0,,,,2.2,70.0,1019.6,46,5.6,10.77,6.5,
108,서울,2014-02-14,2.7,2.0,-7.7,,,,3.1,70.0,1017.4,47,4.0,10.28,6.8,
108,서울,2014-02-15,2.7,3.1,-5.8,,,,2.7,50.0,1016.5,55,0.4,13.19,9.8,
108,서울,2014-02-16,2.8,2.9,-6.2,,,,1.7,50.0,1017.8,53,5.8,8.75,2.9,
108,서울,2014-02-17,4.2,2.9,-6.8,,,,2.0,50.0,1016.5,46,6.4,8.25,3.2,
108,서울,2014-02-18,2.5,2.5,-8.2,,,,3.5,50.0,1016.3,46,5.3,8.72,3.1,
108,서울,2014-02-19,2.1,2.5,-8.0,,,,2.6,50.0,1015.7,49,3.5,11.18,8.1,
108,서울,2014-02-20,1.2,2.9,-5.8,,,,2.8,270.0,1016.5,62,0.9,11.19,7.8,
108,서울,2014-02-21,0.9,2.9,-9.7,,,,2.6,270.0,1019.5,49,0.0,14.18,10.1,
108,서울,2014-02-22,2.2,2.6,-8.1,,,,2.1,290.0,1020.5,49,1.4,12.29,9.4,
