id,city,date,temperature,groundSurface,dewPoint,rainfull,snow,newestSnow,windSpeed,pressure,humidity,cloud,solarRadiation,sunshine
108,서울,20140103,2.3,0.1,-6.2,,,,2.5,1006.9,54,4.6,4.69,2.7
108,서울,20140104,-0.1,-0.2,-10.3,,,,2.4,1008.8,47,0.9,8.14,8.7
108,서울,20140105,-0.8,-0.7,-10.7,,,,1.9,1013.1,48,2.1,7.08,8.0
108,서울,20140106,0.8,-0.5,-8.6,,,,1.6,1017.3,50,3.1,7.90,8.1
108,서울,20140107,3.0,0.5,-4.9,0.0,,,1.7,1014.6,56,8.5,3.36,0.0
108,서울,20140108,0.5,1.3,-7.8,0.0,,,3.3,1010.9,57,7.4,5.59,3.5
108,서울,20140109,-7.8,-4.0,-24.3,,,,3.6,1017.9,26,0.0,10.06,9.3
108,서울,20140110,-4.7,-3.1,-14.2,0.0,,,2.0,1020.6,49,3.1,6.91,4.4
108,서울,20140111,-1.7,-2.1,-14.7,,,,1.9,1020.4,44,4.5,7.57,6.4
108,서울,20140112,-2.4,-2.0,-13.8,0.0,,,3.4,1017.6,44,2.5,7.08,6.4
108,서울,20140113,-6.2,-5.0,-23.1,,,,2.9,1021.8,26,0.0,10.16,9.3
108,서울,20140114,-4.3,-4.2,-18.4,,,,2.2,1022.2,34,0.0,9.24,9.1
108,서울,20140115,-2.9,-3.6,-14.3,,,,1.7,1021.7,42,0.9,9.09,9.0
108,서울,20140116,0.1,-0.9,-6.9,,,,1.9,1018.1,60,6.8,4.14,1.1
108,서울,20140117,-0.1,-1.4,-8.7,,,,1.6,1015.9,56,1.8,6.69,6.2
108,서울,20140118,-2.2,-2.0,-13.7,,,,3.1,1016.9,42,0.4,9.57,8.4
108,서울,20140119,-2.6,-2.7,-13.4,0.0,,,1.9,1017.7,45,4.9,8.33,6.2
108,서울,20140120,-1.5,-0.2,-3.9,5.3,5.3,5.3,3.2,1008.6,83,9.6,2.55,0.0
108,서울,20140121,-5.5,-0.5,-11.4,0.7,6.1,0.8,2.4,1014.5,63,5.3,5.38,3.1
108,서울,20140122,-3.9,-1.5,-10.8,,4.5,,1.6,1018.0,60,1.0,9.60,9.0
108,서울,20140123,-0.8,-1.3,-6.6,,3.8,,2.1,1015.7,66,3.4,7.56,5.8
108,서울,20140124,3.0,0.2,-3.0,,2.5,,2.6,1010.3,64,8.5,3.09,0.0
108,서울,20140125,4.2,1.6,-0.1,3.0,,,2.4,1006.2,74,7.0,1.43,0.0
108,서울,20140126,-2.1,0.0,-13.4,,,,2.7,1016.9,42,0.0,11.50,9.5
108,서울,20140127,0.2,-0.4,-10.5,,,,2.6,1013.4,48,1.6,9.88,8.7
108,서울,20140128,1.5,1.2,-8.6,0.5,,,2.9,1013.8,53,3.6,10.74,8.1
108,서울,20140129,2.2,0.0,-11.0,,,,2.2,1011.1,40,4.3,10.45,7.9
108,서울,20140130,4.0,1.9,-2.8,3.5,,,3.0,1005.4,66,5.8,1.93,0.9
108,서울,20140131,1.3,0.4,-16.5,,,,2.2,1013.0,26,1.0,10.25,9.2
108,서울,20140201,4.9,1.3,-3.1,11.0,,,3.4,1005.0,64,9.6,0.49,0.0
108,서울,20140202,4.9,3.8,3.6,0.5,,,2.0,1000.0,92,8.9,1.84,0.0
108,서울,20140203,-3.5,-0.1,-16.3,,,,4.3,1007.0,39,2.6,8.03,4.6
108,서울,20140204,-7.4,-3.0,-23.8,,,,3.4,1014.6,26,0.1,12.80,9.7
108,서울,20140205,-4.8,-2.0,-21.1,,,,2.0,1018.1,28,4.5,10.96,7.2
108,서울,20140206,-1.3,-0.4,-17.0,,,,1.7,1015.5,30,5.0,9.68,6.7
108,서울,20140207,2.4,0.6,-8.0,0.0,,,4.8,1010.0,47,8.4,9.00,5.2
108,서울,20140208,0.2,0.8,-3.0,4.3,5.8,5.8,4.3,1006.8,79,9.8,4.73,0.9
108,서울,20140209,-1.6,0.1,-5.2,0.2,5.8,0.2,2.7,1010.8,77,8.0,4.89,1.6
108,서울,20140210,-0.1,0.2,-8.4,0.2,4.0,0.5,2.5,1015.1,55,4.5,10.12,6.0
108,서울,20140211,0.2,0.9,-11.6,,,,3.2,1015.9,42,0.8,13.48,9.7
108,서울,20140212,1.2,0.6,-8.3,0.0,,,2.5,1017.8,49,4.4,8.68,5.1
108,서울,20140213,1.9,1.6,-9.0,,,,2.2,1019.6,46,5.6,10.77,6.5
108,서울,20140214,2.7,2.0,-7.7,,,,3.1,1017.4,47,4.0,10.28,6.8
108,서울,20140215,2.7,3.1,-5.8,,,,2.7,1016.5,55,0.4,13.19,9.8
