date,presentprice,open,highprice,lowprice,change%
20170822,"1,133.58","1,138.93","1,138.93","1,133.53",-0.49
20170821,"1,139.11","1,140.06","1,140.06","1,137.05",-0.08
20170820,"1,140.06","1,139.75","1,140.70","1,139.75",0.02
20170818,"1,139.78","1,141.18","1,145.01","1,137.29",-0.24
20170817,"1,142.50","1,134.60","1,142.68","1,133.45",0.61
20170816,"1,135.60","1,134.93","1,144.00","1,133.65",-0.03
20170815,"1,135.93","1,138.41","1,140.15","1,132.27",-0.31
20170814,"1,139.41","1,141.90","1,143.25","1,135.36",-0.3
20170811,"1,142.86","1,143.17","1,149.00","1,140.23",-0.11
20170810,"1,144.17","1,138.40","1,146.61","1,137.01",0.42
20170809,"1,139.40","1,127.99","1,141.16","1,125.37",0.91
20170808,"1,129.18","1,126.15","1,129.67","1,122.90",0.18
20170807,"1,127.15","1,127.65","1,130.10","1,125.41",-0.14
20170804,"1,128.78","1,127.95","1,130.62","1,122.29",-0.02
20170803,"1,128.95","1,121.97","1,130.80","1,121.77",0.53
20170802,"1,122.97","1,120.53","1,126.81","1,119.37",0.13
20170801,"1,121.54","1,118.40","1,123.59","1,114.60",0.19
20170731,"1,119.40","1,123.30","1,126.10","1,117.90",-0.47
20170728,"1,124.69","1,116.35","1,126.12","1,114.90",0.66
20170727,"1,117.35","1,111.60","1,117.99","1,109.90",0.43
20170726,"1,112.60","1,119.01","1,123.30","1,111.15",-0.66
20170725,"1,120.02","1,114.40","1,120.76","1,113.63",0.41
20170724,"1,115.40","1,117.90","1,119.61","1,111.31",-0.31
20170721,"1,118.84","1,120.24","1,124.41","1,115.79",-0.21
20170720,"1,121.24","1,123.59","1,127.57","1,119.95",-0.3
20170719,"1,124.60","1,124.29","1,125.41","1,119.27",-0.06
20170718,"1,125.29","1,127.39","1,131.00","1,121.30",-0.27
20170717,"1,128.39","1,128.00","1,130.81","1,125.30",-0.06
20170714,"1,129.10","1,136.85","1,139.63","1,125.69",-0.77
20170713,"1,137.85","1,137.31","1,140.70","1,133.80",-0.04
20170712,"1,138.32","1,148.17","1,149.61","1,136.35",-0.94
20170711,"1,149.17","1,148.57","1,153.35","1,147.16",-0.04
20170710,"1,149.58","1,152.80","1,154.91","1,147.30",-0.36
20170707,"1,153.74","1,156.25","1,158.75","1,151.76",-0.3
20170706,"1,157.26","1,152.33","1,158.70","1,149.82",0.34
20170705,"1,153.34","1,149.73","1,156.06","1,146.58",0.23
20170704,"1,150.73","1,149.27","1,152.89","1,146.36",0.04
20170703,"1,150.28","1,144.60","1,150.69","1,140.56",0.42
20170630,"1,145.43","1,146.29","1,147.72","1,140.55",-0.16
20170629,"1,147.30","1,137.93","1,149.31","1,137.00",0.73
20170628,"1,138.93","1,139.55","1,146.72","1,137.68",-0.14
20170627,"1,140.56","1,132.51","1,141.42","1,132.43",0.62
20170626,"1,133.52","1,133.65","1,138.40","1,131.10",-0.12
20170623,"1,134.89","1,138.30","1,142.90","1,131.85",-0.39
20170622,"1,139.30","1,142.32","1,144.03","1,137.76",-0.35
20170621,"1,143.32","1,140.93","1,145.46","1,138.58",0.12
20170620,"1,141.93","1,135.77","1,143.53","1,134.33",0.45
20170619,"1,136.78","1,131.55","1,137.86","1,128.00",0.33
20170616,"1,133.08","1,129.83","1,139.01","1,126.79",0.2
