관측분야 : 지상
조회기간 : 임의기간(일별): 2014-01-01 ~ 2017-08-21
관측지점 : 부산(159), 울산(152), 제주(184), 대전(133)
출력기후요소 : 평균기온,평균이슬점온도,평균 지면온도,일강수량,최심적설,최심신적설,평균풍속,평균현지기압,평균습도,평균전운량,일사량,일조시간,최다풍향

지점번호,지점,일자,평균기온 (℃),평균지면온도 (℃),평균이슬점온도 (℃),일강수량 (mm),최심적설 (cm),최심신적설 (cm),평균풍속 (m/s),최다풍향 (deg),평균현지기압 (hPa),평균습도 (%),평균전운량 (1/10),일사합 (MJ/m²),일조합 (hr),
원시자료
133,대전,2014-01-01,5.1,1.8,-2.4,,,,2.2,200.0,1007.4,61,0.8,9.79,8.4,
133,대전,2014-01-02,2.6,1.3,-6.1,,,,1.0,320.0,1013.1,57,1.9,11.01,8.6,
133,대전,2014-01-03,2.1,0.7,-5.5,,,,0.4,110.0,1009.3,60,5.4,8.42,7.4,
133,대전,2014-01-04,1.0,0.6,-6.2,,,,1.0,320.0,1011.0,61,0.4,11.58,8.8,
133,대전,2014-01-05,-0.8,-1.3,-6.3,,,,0.9,320.0,1015.5,69,0.1,10.97,8.2,
133,대전,2014-01-06,-0.2,-1.0,-6.1,,,,0.8,320.0,1019.8,67,0.1,10.84,8.6,
133,대전,2014-01-07,0.7,-0.4,-4.1,,,,0.7,320.0,1017.7,72,5.8,7.50,2.2,
133,대전,2014-01-08,1.2,1.4,-4.0,0.2,0.1,0.1,1.5,340.0,1012.8,70,7.5,4.02,2.2,
133,대전,2014-01-09,-5.4,-4.1,-17.1,,,,2.4,320.0,1020.1,42,0.0,13.04,9.0,
133,대전,2014-01-10,-4.8,-3.3,-9.3,0.0,,,0.8,320.0,1023.5,71,4.6,7.17,3.1,
133,대전,2014-01-11,-1.0,-1.1,-5.6,0.0,,,0.8,320.0,1023.2,72,7.0,7.71,3.7,
133,대전,2014-01-12,-0.7,-1.6,-6.6,0.0,,,1.6,340.0,1020.2,66,4.1,6.26,2.1,
133,대전,2014-01-13,-5.3,-4.4,-16.2,,,,1.2,340.0,1024.1,46,0.1,12.98,9.0,
133,대전,2014-01-14,-4.4,-4.1,-12.8,,,,1.0,340.0,1024.6,54,0.0,11.99,8.9,
133,대전,2014-01-15,-3.0,-3.3,-9.4,,,,0.9,290.0,1024.3,64,0.0,11.97,8.8,
133,대전,2014-01-16,-1.6,-2.1,-5.8,,,,0.7,290.0,1021.2,74,5.1,6.06,1.6,
133,대전,2014-01-17,-0.1,-1.1,-4.8,,,,0.7,290.0,1018.3,73,1.5,9.30,5.9,
133,대전,2014-01-18,-1.1,-1.3,-8.1,0.0,,,1.6,320.0,1019.4,61,3.4,9.59,5.9,
133,대전,2014-01-19,-1.7,-1.9,-11.1,,,,1.1,320.0,1020.4,53,3.9,12.69,8.9,
133,대전,2014-01-20,0.8,0.6,-2.5,3.6,3.2,3.2,1.8,320.0,1011.7,79,8.4,5.77,1.6,
133,대전,2014-01-21,-3.2,0.0,-6.8,0.7,3.3,2.3,1.8,340.0,1017.0,76,7.3,7.35,3.7,
133,대전,2014-01-22,-2.6,-1.6,-7.7,,,,1.2,340.0,1020.6,70,1.5,12.64,8.8,
133,대전,2014-01-23,-1.3,-1.1,-6.0,,,,0.8,320.0,1018.4,73,0.0,14.10,9.1,
133,대전,2014-01-24,3.7,1.3,-0.2,,,,1.0,230.0,1013.3,77,7.1,7.08,2.2,
133,대전,2014-01-25,5.7,3.5,3.9,1.6,,,1.3,320.0,1008.6,88,8.4,1.68,0.0,
133,대전,2014-01-26,-0.8,0.6,-9.5,,,,1.5,340.0,1019.2,54,0.0,14.52,9.4,
133,대전,2014-01-27,0.3,-0.7,-8.6,,,,1.3,320.0,1016.3,56,0.0,13.57,9.5,
133,대전,2014-01-28,3.1,1.8,-5.5,0.0,,,1.7,340.0,1016.1,58,4.5,11.47,7.6,
133,대전,2014-01-29,2.1,0.2,-7.7,,,,0.7,340.0,1013.8,53,4.6,12.08,6.5,
133,대전,2014-01-30,4.8,3.0,1.7,0.4,,,1.0,340.0,1008.1,82,7.0,0.97,0.0,
133,대전,2014-01-31,2.4,2.0,-5.4,,,,0.9,320.0,1015.2,61,0.9,13.32,9.2,
133,대전,2014-02-01,7.5,5.2,1.4,6.3,,,0.7,320.0,1007.0,68,9.1,7.01,3.0,
133,대전,2014-02-02,8.7,9.1,7.6,0.2,,,1.6,200.0,1002.1,94,9.0,4.42,0.2,
133,대전,2014-02-03,-0.2,2.1,-8.8,,,,2.5,340.0,1008.4,56,4.3,9.12,3.2,
133,대전,2014-02-04,-6.4,-2.9,-16.9,,,,2.0,320.0,1016.9,45,0.6,16.27,9.6,
133,대전,2014-02-05,-4.6,-1.9,-16.2,,,,0.9,50.0,1020.2,41,5.3,11.93,5.2,
133,대전,2014-02-06,-0.6,-0.6,-12.0,,,,0.9,20.0,1017.0,43,7.0,10.12,4.6,
133,대전,2014-02-07,2.7,1.1,-3.3,0.0,,,2.2,90.0,1011.4,65,7.5,8.29,2.9,
133,대전,2014-02-08,3.0,2.6,0.1,1.3,,,2.2,110.0,1008.6,82,10.0,4.08,0.0,
133,대전,2014-02-09,-0.2,1.1,-3.4,0.1,,,1.3,340.0,1012.8,80,9.6,6.07,0.3,
133,대전,2014-02-10,0.2,1.4,-3.1,0.6,1.3,1.3,1.4,340.0,1016.7,79,7.3,7.26,2.2,
133,대전,2014-02-11,1.1,2.0,-6.3,,,,2.9,110.0,1017.6,59,1.8,15.68,9.8,
133,대전,2014-02-12,2.6,2.6,-5.3,,,,2.2,110.0,1019.5,57,4.8,15.31,8.0,
