관측분야 : 지상
조회기간 : 임의기간(일별): 2014-01-01 ~ 2017-08-21
관측지점 : 강릉(105), 파주(99), 수원(119), 보령(235), 청주(131)
출력기후요소 : 평균기온,평균이슬점온도,평균 지면온도,일강수량,최심적설,최심신적설,평균풍속,평균현지기압,평균습도,평균전운량,일사량,일조시간,최다풍향

지점번호,지점,일자,평균기온 (℃),평균지면온도 (℃),평균이슬점온도 (℃),일강수량 (mm),최심적설 (cm),최심신적설 (cm),평균풍속 (m/s),최다풍향 (deg),평균현지기압 (hPa),평균습도 (%),평균전운량 (1/10),일사합 (MJ/m²),일조합 (hr),
원시자료
99,파주,2014-01-01,1.8,0.3,-3.5,,,,2.0,230.0,1010.5,70,,,7.8,
99,파주,2014-01-02,-1.5,0.3,-10.5,,,,0.8,250.0,1017.8,55,,,8.6,
99,파주,2014-01-03,-1.2,-0.1,-5.8,,,,0.6,140.0,1014.2,72,,,2.1,
99,파주,2014-01-04,-2.7,-0.7,-9.3,,,,0.8,70.0,1016.4,63,,,8.6,
99,파주,2014-01-05,-3.0,-0.8,-10.3,,,,0.9,230.0,1020.7,59,,,7.9,
99,파주,2014-01-06,-2.1,-0.9,-7.2,,,,0.8,70.0,1024.6,70,,,7.1,
99,파주,2014-01-07,0.5,0.2,-3.4,0.2,,,0.5,340.0,1021.8,76,,,0.0,
99,파주,2014-01-08,-1.0,0.3,-7.3,0.2,,,2.1,290.0,1018.5,66,,,3.4,
99,파주,2014-01-09,-8.7,-2.8,-20.7,,,,1.8,290.0,1025.6,39,,,9.1,
99,파주,2014-01-10,-7.7,-3.2,-13.0,,,,0.8,50.0,1028.0,67,,,7.5,
99,파주,2014-01-11,-4.3,-1.9,-12.3,,,,0.7,230.0,1027.6,59,,,6.2,
99,파주,2014-01-12,-5.3,-1.9,-14.2,,,,1.8,320.0,1025.1,54,,,7.3,
99,파주,2014-01-13,-9.0,-3.6,-19.1,,,,0.7,290.0,1029.4,49,,,9.1,
99,파주,2014-01-14,-7.3,-3.2,-15.7,,,,0.9,70.0,1029.9,55,,,8.8,
99,파주,2014-01-15,-6.3,-2.7,-13.0,,,,0.7,250.0,1029.2,62,,,8.8,
99,파주,2014-01-16,-2.5,-1.2,-7.1,,,,0.7,20.0,1025.4,71,,,0.7,
99,파주,2014-01-17,-3.5,-1.9,-8.4,,,,0.6,70.0,1023.4,71,,,5.8,
99,파주,2014-01-18,-4.6,-2.4,-12.5,,,,2.1,320.0,1024.3,58,,,8.9,
99,파주,2014-01-19,-4.7,-3.4,-12.3,,,,1.0,140.0,1025.1,58,,,6.1,
99,파주,2014-01-20,-2.1,-0.7,-5.5,3.5,,,1.5,20.0,1015.8,78,,,0.0,
99,파주,2014-01-21,-7.7,-2.8,-11.8,,,,0.9,290.0,1022.1,73,,,5.9,
99,파주,2014-01-22,-7.2,-2.6,-11.9,,,,0.7,70.0,1025.4,71,,,8.8,
99,파주,2014-01-23,-2.6,-1.5,-6.9,,,,0.9,160.0,1022.8,73,,,5.8,
99,파주,2014-01-24,3.8,1.5,-1.6,,,,1.9,180.0,1016.9,68,,,0.0,
99,파주,2014-01-25,3.2,1.5,-0.9,2.1,,,1.4,50.0,1013.5,76,,,0.0,
99,파주,2014-01-26,-3.7,0.5,-11.8,,,,1.2,290.0,1024.5,56,,,9.5,
99,파주,2014-01-27,-2.4,-0.1,-7.3,,,,1.5,200.0,1020.4,71,,,9.0,
99,파주,2014-01-28,-0.8,1.5,-8.2,0.7,,,1.8,290.0,1021.3,63,,,9.2,
99,파주,2014-01-29,-2.3,-0.5,-10.8,,,,0.9,70.0,1018.2,57,,,6.6,
99,파주,2014-01-30,0.9,1.1,-6.0,1.1,,,1.6,270.0,1012.6,65,,,3.8,
99,파주,2014-01-31,-1.5,0.4,-12.0,,,,1.4,50.0,1020.5,48,,,9.0,
99,파주,2014-02-01,1.9,0.3,-3.7,16.0,,,2.6,50.0,1012.4,69,,,0.0,
99,파주,2014-02-02,2.3,1.0,1.3,0.1,,,1.1,20.0,1007.3,93,,,0.0,
99,파주,2014-02-03,-4.6,-0.3,-15.7,,,,3.0,320.0,1014.8,45,,,5.6,
99,파주,2014-02-04,-8.3,-2.4,-20.7,,,,2.3,320.0,1022.2,38,,,9.5,
99,파주,2014-02-05,-7.0,-1.8,-16.4,,,,1.1,70.0,1025.8,51,,,7.8,
99,파주,2014-02-06,-3.0,-0.6,-14.1,,,,1.7,20.0,1023.2,44,,,6.4,
99,파주,2014-02-07,0.5,-0.2,-7.4,0.1,,,3.1,50.0,1017.8,57,,,5.9,
99,파주,2014-02-08,-1.0,0.4,-3.5,3.3,,,2.8,50.0,1014.6,83,,,0.0,
99,파주,2014-02-09,-3.1,0.8,-7.1,,,,1.9,360.0,1018.6,74,,,7.2,
99,파주,2014-02-10,-1.4,1.5,-9.1,,,,2.5,50.0,1022.9,58,,,9.5,
99,파주,2014-02-11,-1.9,0.7,-10.3,,,,2.7,50.0,1023.4,55,,,9.9,
99,파주,2014-02-12,-0.6,0.6,-8.4,,,,2.2,50.0,1025.3,57,,,7.0,
99,파주,2014-02-13,0.1,1.2,-8.0,,,,2.2,20.0,1027.3,57,,,8.2,
99,파주,2014-02-14,1.2,1.6,-7.3,,,,2.2,20.0,1024.8,55,,,7.3,
99,파주,2014-02-15,0.2,2.0,-5.6,,,,1.3,50.0,1024.0,68,,,9.8,
99,파주,2014-02-16,0.1,0.9,-5.7,,,,0.9,180.0,1025.1,69,,,5.7,
99,파주,2014-02-17,2.2,1.5,-5.9,,,,2.2,20.0,1024.3,57,,,4.6,
99,파주,2014-02-18,1.0,1.2,-7.1,,,,2.0,50.0,1023.9,55,,,2.9,
99,파주,2014-02-19,-0.1,1.1,-6.8,,,,1.3,50.0,1023.0,63,,,8.8,
99,파주,2014-02-20,-0.8,1.9,-6.5,,,,1.1,140.0,1023.9,69,,,7.4,
99,파주,2014-02-21,-1.1,2.0,-8.7,,,,0.9,250.0,1026.9,62,,,9.9,
99,파주,2014-02-22,-0.5,1.8,-6.8,,,,0.9,50.0,1028.0,67,,,9.6,
99,파주,2014-02-23,0.5,1.5,-5.7,,,,0.9,20.0,1027.6,67,,,7.0,
99,파주,2014-02-24,1.3,2.0,-3.5,,,,0.9,250.0,1026.2,73,,,5.3,
99,파주,2014-02-25,1.8,3.2,-2.8,,,,0.8,20.0,1025.4,75,,,6.5,
99,파주,2014-02-26,5.3,4.5,-2.7,,,,1.2,20.0,1020.8,62,,,9.0,
99,파주,2014-02-27,4.7,4.5,-1.8,,,,1.4,200.0,1017.1,66,,,5.5,
99,파주,2014-02-28,3.8,3.7,-1.7,,,,1.0,140.0,1018.2,70,,,5.8,
99,파주,2014-03-01,3.9,4.2,-2.1,,,,1.3,270.0,1015.4,67,,,1.1,
99,파주,2014-03-02,3.3,4.6,-8.1,,,,2.2,20.0,1018.4,49,,,10.6,
99,파주,2014-03-03,1.9,3.7,-8.2,,,,1.2,50.0,1023.2,52,,,10.3,
