관측분야 : 지상
조회기간 : 임의기간(일별): 2014-01-01 ~ 2017-08-21
관측지점 : 전주(146), 진도군(268), 김해시(253), 안동(136)
출력기후요소 : 평균기온,평균이슬점온도,평균 지면온도,일강수량,최심적설,최심신적설,평균풍속,평균현지기압,평균습도,평균전운량,일사량,일조시간,최다풍향

지점번호,지점,일자,평균기온 (℃),평균지면온도 (℃),평균이슬점온도 (℃),일강수량 (mm),최심적설 (cm),최심신적설 (cm),평균풍속 (m/s),최다풍향 (deg),평균현지기압 (hPa),평균습도 (%),평균전운량 (1/10),일사합 (MJ/m²),일조합 (hr),
원시자료
136,안동,2014-01-01,5.0,0.2,-7.4,,,,2.9,290.0,996.4,42,0.9,8.21,7.6,
136,안동,2014-01-02,2.9,-0.4,-10.0,,,,2.0,290.0,1003.0,42,2.1,9.75,9.0,
136,안동,2014-01-03,-0.4,-1.3,-8.8,,,,0.6,140.0,1000.1,56,5.8,5.38,4.2,
136,안동,2014-01-04,1.4,-0.7,-4.7,,,,1.2,110.0,1001.2,66,4.4,8.84,7.8,
136,안동,2014-01-05,1.7,0.7,-5.9,,,,1.2,290.0,1005.0,60,3.4,7.16,4.2,
136,안동,2014-01-06,-0.7,-1.9,-8.8,,,,0.6,140.0,1010.5,57,0.3,9.53,8.9,
136,안동,2014-01-07,-0.1,-1.2,-7.0,,,,0.9,290.0,1007.8,62,6.8,7.16,5.4,
136,안동,2014-01-08,1.5,0.7,-4.7,,,,1.3,290.0,1001.7,64,8.3,2.69,0.0,
136,안동,2014-01-09,-4.7,-3.5,-21.4,,,,3.2,290.0,1008.1,28,0.0,11.02,9.5,
136,안동,2014-01-10,-4.8,-4.7,-14.4,,,,1.7,290.0,1013.2,48,1.8,9.39,8.5,
136,안동,2014-01-11,-2.2,-3.6,-10.6,,,,1.4,290.0,1013.2,56,4.0,8.52,7.9,
136,안동,2014-01-12,-1.4,-2.6,-9.8,,,,1.9,290.0,1009.3,55,3.6,5.98,3.0,
136,안동,2014-01-13,-4.2,-5.0,-19.2,,,,1.6,290.0,1012.9,33,0.0,10.89,9.5,
136,안동,2014-01-14,-5.2,-5.7,-17.7,,,,1.0,270.0,1014.1,41,0.3,11.01,9.5,
136,안동,2014-01-15,-3.8,-5.0,-15.3,,,,1.4,290.0,1013.7,44,0.0,10.91,9.4,
136,안동,2014-01-16,-2.6,-3.4,-10.1,,,,1.0,140.0,1011.2,58,1.8,9.47,7.9,
136,안동,2014-01-17,-1.6,-2.6,-8.2,,,,0.7,140.0,1008.5,63,0.0,8.25,6.7,
136,안동,2014-01-18,-1.6,-2.9,-12.5,,,,2.2,320.0,1008.0,46,1.0,8.07,8.6,
136,안동,2014-01-19,-3.1,-3.7,-13.8,,,,0.8,320.0,1011.1,47,2.4,10.65,9.0,
136,안동,2014-01-20,-1.1,-0.5,-5.8,0.7,1.1,1.1,1.4,290.0,1002.0,71,8.4,5.61,2.2,
136,안동,2014-01-21,-3.6,-3.2,-10.2,0.0,,,2.6,290.0,1005.9,61,2.9,9.62,8.2,
136,안동,2014-01-22,-4.4,-4.8,-12.7,,,,1.4,290.0,1010.2,57,0.0,10.68,9.0,
136,안동,2014-01-23,-2.7,-3.7,-10.4,,,,0.8,140.0,1008.8,59,0.0,11.61,9.4,
136,안동,2014-01-24,0.6,-1.1,-5.6,,,,1.1,270.0,1004.5,65,5.4,8.64,5.9,
136,안동,2014-01-25,3.6,2.3,0.5,0.4,,,1.1,140.0,999.3,81,8.8,2.55,0.0,
136,안동,2014-01-26,0.9,0.2,-8.0,,,,1.9,290.0,1008.0,54,0.0,11.32,9.4,
136,안동,2014-01-27,-0.6,-1.9,-10.6,,,,1.3,140.0,1006.8,53,0.0,11.56,8.7,
136,안동,2014-01-28,2.3,0.1,-9.5,,,,2.0,290.0,1005.5,45,2.0,10.81,8.0,
136,안동,2014-01-29,1.5,-0.7,-11.4,,,,0.8,160.0,1004.9,44,3.1,11.61,7.7,
136,안동,2014-01-30,4.7,0.9,-3.1,,,,1.7,290.0,997.7,58,7.0,1.65,0.1,
136,안동,2014-01-31,2.6,0.2,-12.2,,,,0.9,290.0,1006.3,36,0.0,10.91,9.5,
136,안동,2014-02-01,6.4,4.1,-4.3,,,,1.1,110.0,999.7,48,7.8,6.84,4.1,
136,안동,2014-02-02,9.1,7.9,4.7,0.5,,,1.8,290.0,992.1,76,5.9,8.83,5.8,
136,안동,2014-02-03,1.9,2.3,-8.4,,,,2.6,290.0,996.1,52,3.6,7.35,3.0,
136,안동,2014-02-04,-5.2,-3.0,-21.2,,,,3.3,290.0,1004.3,29,0.4,13.47,9.8,
136,안동,2014-02-05,-5.3,-2.5,-17.9,,,,0.7,160.0,1010.5,40,5.1,10.14,5.8,
136,안동,2014-02-06,-1.8,-0.4,-11.8,,,,0.6,290.0,1008.5,48,7.5,5.51,1.1,
136,안동,2014-02-07,1.1,1.3,-3.5,1.5,,,1.5,70.0,1003.6,72,9.3,6.37,1.9,
136,안동,2014-02-08,2.4,2.5,-2.2,1.1,1.0,1.0,1.9,140.0,1000.1,73,9.3,6.87,2.1,
136,안동,2014-02-09,0.8,2.6,-1.4,2.5,5.0,4.0,1.0,320.0,1002.4,86,9.4,5.34,1.6,
136,안동,2014-02-10,-0.9,1.4,-6.7,0.0,,,1.6,110.0,1008.3,66,6.9,7.02,2.9,
136,안동,2014-02-11,-1.5,-0.1,-8.6,,,,1.6,140.0,1010.0,62,2.5,12.80,8.4,
136,안동,2014-02-12,-0.1,1.2,-6.9,,,,1.1,110.0,1011.3,64,4.3,13.20,6.8,
136,안동,2014-02-13,0.6,1.3,-5.1,,,,1.5,140.0,1013.0,67,7.0,8.09,2.6,
136,안동,2014-02-14,-0.4,0.7,-6.3,,,,1.3,110.0,1011.1,66,5.3,6.95,4.8,
136,안동,2014-02-15,0.6,1.3,-7.6,,,,1.0,250.0,1009.3,59,0.0,15.51,10.1,
136,안동,2014-02-16,1.1,1.0,-6.7,,,,0.8,140.0,1010.8,60,5.0,8.62,3.5,
136,안동,2014-02-17,3.1,2.3,-3.6,0.0,,,2.0,110.0,1010.3,62,8.5,6.53,2.4,
136,안동,2014-02-18,1.1,2.3,-7.3,,,,2.5,110.0,1010.4,55,6.3,9.93,5.0,
136,안동,2014-02-19,0.8,2.4,-7.2,,,,1.3,140.0,1009.3,58,5.9,13.05,8.0,
136,안동,2014-02-20,1.3,2.5,-6.5,,,,1.5,290.0,1009.3,59,1.0,13.97,9.5,
136,안동,2014-02-21,0.9,2.3,-8.0,,,,0.8,140.0,1011.9,55,0.4,13.98,9.4,
136,안동,2014-02-22,1.7,2.6,-6.8,,,,1.0,110.0,1013.3,60,0.4,14.08,8.5,
136,안동,2014-02-23,2.7,3.6,-5.6,,,,0.9,140.0,1013.0,60,1.3,12.37,7.4,
136,안동,2014-02-24,3.5,3.9,-4.9,,,,1.2,140.0,1011.3,59,1.3,11.95,7.6,
136,안동,2014-02-25,5.4,5.1,-3.9,,,,0.7,140.0,1010.9,55,1.8,12.90,7.9,
136,안동,2014-02-26,5.4,4.1,0.7,0.5,,,1.1,140.0,1008.2,72,8.5,4.98,0.0,
136,안동,2014-02-27,10.5,12.1,2.2,,,,1.7,270.0,1002.2,61,6.3,13.60,8.0,
136,안동,2014-02-28,7.4,8.8,0.2,,,,2.2,110.0,1005.3,61,9.1,7.51,0.8,
136,안동,2014-03-01,7.8,7.8,2.2,0.0,,,0.9,90.0,1001.5,69,10.0,3.52,0.0,
136,안동,2014-03-02,5.2,8.9,-1.9,0.0,,,1.6,320.0,1002.9,63,5.4,10.75,7.2,
136,안동,2014-03-03,4.0,8.7,-6.3,,,,1.1,140.0,1009.8,54,0.1,17.84,10.5,
136,안동,2014-03-04,4.1,5.6,-4.9,,,,0.9,250.0,1005.4,55,5.4,9.78,4.8,
136,안동,2014-03-05,3.1,4.7,-10.1,,,,3.0,290.0,1003.3,42,1.4,13.97,9.2,
136,안동,2014-03-06,0.6,4.4,-13.6,,,,2.4,290.0,1008.5,37,1.9,16.91,10.5,
136,안동,2014-03-07,1.1,5.6,-17.2,,,,3.4,290.0,1010.4,27,1.4,18.35,10.7,
136,안동,2014-03-08,2.2,4.0,-12.4,,,,1.9,290.0,1007.0,35,5.1,12.23,8.0,
136,안동,2014-03-09,0.8,3.1,-9.6,0.4,0.1,0.1,2.0,290.0,1002.4,50,5.3,9.54,5.6,
136,안동,2014-03-10,2.0,5.8,-12.3,,,,1.9,290.0,1008.1,37,0.0,18.46,11.1,
136,안동,2014-03-11,5.2,7.6,-11.7,,,,1.8,140.0,1008.3,35,0.0,16.21,10.3,
136,안동,2014-03-12,3.0,3.3,-1.3,21.5,,,0.7,140.0,1001.0,75,7.8,2.52,0.1,
136,안동,2014-03-13,3.0,5.1,-0.5,8.0,,,1.5,90.0,996.7,79,10.0,4.85,0.2,
136,안동,2014-03-14,2.5,6.0,-4.1,,,,1.7,290.0,1001.7,66,5.1,15.32,6.8,
136,안동,2014-03-15,6.1,6.3,-4.2,,,,2.1,290.0,1002.5,52,0.0,17.62,10.5,
136,안동,2014-03-16,10.2,10.5,-0.2,,,,1.6,110.0,1003.9,51,0.0,15.18,9.0,
136,안동,2014-03-17,12.4,14.7,2.8,0.0,,,2.0,140.0,1001.4,57,3.1,17.42,10.2,
136,안동,2014-03-18,13.7,16.3,4.2,0.0,,,3.0,110.0,997.7,57,4.5,15.59,8.1,
136,안동,2014-03-19,8.9,11.3,-0.5,,,,2.0,110.0,1001.1,53,8.3,9.76,2.5,
136,안동,2014-03-20,5.6,8.0,1.3,1.5,,,1.8,290.0,995.6,75,9.0,5.88,1.5,
136,안동,2014-03-21,3.6,5.6,-4.0,,,,1.7,290.0,1002.6,61,1.5,13.15,8.6,
136,안동,2014-03-22,6.9,8.3,-4.0,,,,1.5,270.0,1006.3,51,0.0,19.56,11.2,
136,안동,2014-03-23,10.8,11.8,-3.3,,,,2.0,290.0,1009.7,43,0.0,18.85,10.7,
136,안동,2014-03-24,10.8,13.0,-5.5,,,,2.3,290.0,1005.1,38,3.6,18.81,10.4,
136,안동,2014-03-25,14.7,14.8,6.1,5.0,,,1.4,290.0,998.5,58,9.5,10.30,3.6,
136,안동,2014-03-26,14.6,15.4,10.7,10.0,,,1.1,270.0,993.3,80,6.9,9.30,2.6,
136,안동,2014-03-27,14.0,15.0,4.2,,,,1.2,140.0,999.4,60,3.8,16.74,8.6,
136,안동,2014-03-28,16.6,16.6,3.9,,,,1.4,140.0,1000.2,49,3.3,17.45,9.0,
136,안동,2014-03-29,14.1,13.6,9.6,26.0,,,1.0,110.0,993.0,77,9.9,2.95,0.0,
136,안동,2014-03-30,13.6,15.7,6.9,8.5,,,1.3,140.0,992.0,69,5.1,14.97,8.0,
136,안동,2014-03-31,12.7,13.8,3.1,,,,1.2,140.0,999.4,58,2.0,16.48,9.6,
136,안동,2014-04-01,14.0,16.0,1.1,,,,1.2,140.0,999.3,50,0.5,19.33,9.7,
136,안동,2014-04-02,14.7,16.2,1.7,,,,1.2,140.0,999.6,48,2.3,18.26,10.4,
136,안동,2014-04-03,12.0,15.1,1.4,10.5,,,1.7,140.0,995.3,57,8.0,15.16,5.5,
136,안동,2014-04-04,6.9,11.8,-1.8,2.0,,,2.1,290.0,995.2,59,6.1,16.12,9.0,
136,안동,2014-04-05,6.6,11.9,-2.9,,,,2.4,290.0,996.7,55,4.4,21.17,9.1,
136,안동,2014-04-06,8.0,11.7,-6.9,,,,2.8,290.0,1001.6,38,0.3,22.02,11.9,
136,안동,2014-04-07,12.2,13.4,-2.3,,,,2.6,290.0,1000.5,40,4.9,18.71,10.2,
136,안동,2014-04-08,13.8,16.3,-3.8,,,,1.5,270.0,1000.0,34,0.0,21.41,11.6,
136,안동,2014-04-09,14.8,17.2,-0.4,,,,1.3,160.0,998.9,42,0.0,21.27,11.5,
136,안동,2014-04-10,12.8,16.4,0.4,,,,2.4,110.0,1002.2,46,1.5,18.89,9.5,
136,안동,2014-04-11,12.5,17.2,1.5,,,,1.3,290.0,1003.4,48,7.1,16.37,5.9,
136,안동,2014-04-12,12.0,13.7,5.1,0.0,,,0.8,140.0,1001.6,63,9.5,5.31,0.0,
136,안동,2014-04-13,13.8,16.7,-0.1,0.0,,,2.0,140.0,1001.2,45,5.5,14.55,6.4,
136,안동,2014-04-14,14.3,18.2,0.2,,,,1.6,140.0,1002.7,44,0.0,21.67,11.8,
136,안동,2014-04-15,18.1,20.5,5.4,,,,2.4,290.0,1000.8,46,2.4,19.56,9.5,
136,안동,2014-04-16,19.0,21.2,7.3,,,,2.0,290.0,997.9,50,5.4,18.03,8.6,
136,안동,2014-04-17,14.9,17.3,5.0,9.0,,,1.6,110.0,997.0,58,5.6,12.69,5.6,
